obj_Value    Budget
 1644.9670   3000
 1524.8041   3000
 1620.8137   3000
 1052.8752   3000
 1142.1610   3000
 1495.4754   3000
 1158.1950   3000
 1593.3539   3000
 1637.1820   3000
 1740.1561   3000
 1704.5035   3000
 1469.6590   3000
 1550.0399   3000
 1667.4301   3000
 1418.2193   3000
 1650.4982   3000
 1331.4754   3000
 1604.9250   3000
 1545.6645   3000
 1273.6299   3000
 1386.2494   3000
 1409.0897   3000
  983.9021   3000
 1581.3732   3000
 1364.3918   3000
 1400.9599   3000
 1261.6189   3000
 1537.0930   3000
 1429.6250   3000
 1455.2528   3000
 1517.1532   3000
 1243.7751   3000
 1611.9565   3000
 1639.2606   3000
 1372.8118   3000
 1789.2130   3000
 1554.5890   3000
 1551.5438   3000
 1755.7038   3000
 1266.7331   3000
 1591.1666   3000
 1556.4331   3000
 1504.5601   3000
 1395.6356   3000
 1486.5845   3000
 1319.2299   3000
 1578.1100   3000
 1461.6334   3000
  974.7880   3000
 1442.8491   3000
 1532.4521   3000
 1504.8716   3000
 1358.1683   3000
 1688.1955   3000
 1524.2886   3000
 1342.8627   3000
  686.6633   3000
  854.0620   3000
 1549.2994   3000
 1201.7775   3000
 1460.8003   3000
 1384.6223   3000
 1360.9189   3000
  817.3744   3000
 1122.9818   3000
 1265.2697   3000
 1462.3031   3000
  959.6535   3000
 1437.4483   3000
 1216.7523   3000
 1619.2386   3000
 1583.5374   3000
 1470.0457   3000
 1737.1462   3000
 1178.1099   3000
 1955.2775   3000
 1622.6318   3000
 1278.7515   3000
 1539.0946   3000
 1608.9863   3000
 1327.7675   3000
 1302.8821   3000
 1550.5315   3000
 1407.0983   3000
 1581.5434   3000
 1384.8956   3000
 1642.5143   3000
 1525.2821   3000
 1637.0222   3000
 1150.7010   3000
 1505.8327   3000
 1435.3449   3000
 1798.9477   3000
 1626.0578   3000
 1599.6546   3000
 1372.8907   3000
 1736.5985   3000
 1635.5872   3000
 1537.9652   3000
 1230.0367   3000
