obj_Value    Budget
  268.6781   3000
  222.7657   3000
  195.7825   3000
  273.5443   3000
  246.1285   3000
  295.5048   3000
  248.9060   3000
  260.0272   3000
  194.8997   3000
  191.7587   3000
  301.6714   3000
  242.3592   3000
  154.4672   3000
  328.7011   3000
  242.1230   3000
  246.5793   3000
  246.2147   3000
  352.5876   3000
  408.1188   3000
  144.0400   3000
  204.6250   3000
  265.7284   3000
  297.3796   3000
  341.1939   3000
  290.7578   3000
  227.9908   3000
  251.4330   3000
  194.2967   3000
  185.1230   3000
  289.0645   3000
  257.7678   3000
  136.0261   3000
  214.0166   3000
  222.0491   3000
  439.1778   3000
  204.3108   3000
  241.5826   3000
  264.7662   3000
  216.5690   3000
  206.9332   3000
  159.1134   3000
  183.3128   3000
  208.2380   3000
  224.9751   3000
  231.6397   3000
  278.6742   3000
  187.3144   3000
  174.5017   3000
  203.8754   3000
  214.9882   3000
  228.5489   3000
  224.5435   3000
  239.2189   3000
  327.0489   3000
  238.3620   3000
  135.3348   3000
  173.4157   3000
  181.9892   3000
  192.5447   3000
  220.6854   3000
  308.6446   3000
  272.3715   3000
  274.0038   3000
  184.1229   3000
  301.3514   3000
  289.3093   3000
  286.5030   3000
  189.6274   3000
  161.8334   3000
  239.4663   3000
  280.8522   3000
  217.9901   3000
  343.5791   3000
  211.8657   3000
  179.6952   3000
  166.5693   3000
  240.4189   3000
  255.8049   3000
  244.6862   3000
  444.4926   3000
  266.3453   3000
  268.4004   3000
  156.3656   3000
  285.9018   3000
  149.2094   3000
  263.9206   3000
  204.3906   3000
  320.2776   3000
  208.6644   3000
  325.9459   3000
  221.6325   3000
  298.5217   3000
  211.5179   3000
  223.2122   3000
  270.7151   3000
  196.0839   3000
  147.7334   3000
  303.8583   3000
  252.6901   3000
  285.4548   3000
