obj_Value     Budget
 5198.4220    200
 5969.2154    200
 4972.1539    200
 6902.9111    200
 6386.5204    200
 4036.7978    200
 5679.3484    200
 2674.4844    200
 3409.6541    200
 8342.8899    200
 5808.7462    200
 5021.0688    200
 6987.3982    200
 6500.6728    200
 5244.7597    200
 6959.2331    200
 5673.5319    200
 5824.4698    200
 3897.2570    200
 5535.6887    200
 7177.9516    200
 6057.4663    200
 5937.5841    200
 3458.2163    200
 6496.3315    200
 4912.5563    200
 6225.2874    200
 4846.6341    200
 3915.8127    200
 5457.5672    200
 5932.2127    200
 4766.1599    200
 4225.4762    200
 4007.0870    200
 6153.4367    200
 7296.8069    200
 3508.7551    200
 8219.1507    200
 5874.4164    200
 3435.9047    200
 5118.5656    200
 7251.3060    200
 3398.5221    200
 4510.2247    200
 4671.5559    200
 6336.2030    200
 5184.2364    200
 3737.0059    200
 5507.7566    200
 6346.2309    200
 6681.0441    200
 5157.2881    200
 5054.9330    200
 5963.5257    200
 4841.8136    200
 4452.6000    200
 4134.8853    200
 6966.8050    200
 6340.4206    200
 3599.1638    200
 5383.0837    200
 3788.8917    200
 4113.1816    200
 6075.5459    200
 5794.2654    200
 6242.3728    200
 6574.4709    200
 6496.0496    200
 4375.8293    200
 6088.7397    200
 5127.3529    200
 5401.3516    200
 5942.9311    200
 5386.4219    200
 5351.6237    200
 6817.2974    200
 4263.6246    200
 6519.7812    200
 5311.2673    200
 6949.4975    200
 7735.7722    200
 6240.8723    200
 5473.4750    200
 4549.5004    200
 6376.5507    200
 4257.1536    200
 7165.0362    200
 5595.7642    200
 5318.0070    200
 7564.9786    200
 3803.5292    200
 6598.1268    200
 6555.5847    200
 4634.3088    200
 5494.9382    200
 4934.9507    200
 5310.9476    200
 4211.5052    200
 3917.5787    200
 6626.5928    200
