obj_Value     Budget
 3161.7110    200
28306.8182    200
 9157.9026    200
13383.9221    200
 9890.0000    200
25327.4221    200
 4464.4104    200
11086.3117    200
17808.6623    200
14903.7403    200
11413.0390    200
 2933.0506    200
21791.8766    200
16926.2078    200
  667.8127    200
 9741.5390    200
11748.1753    200
 5137.6071    200
 5361.0552    200
 3150.5299    200
 6364.2662    200
 1563.0974    200
 4000.3084    200
 7495.4286    200
 8366.5195    200
13026.9351    200
  644.0623    200
 2823.0032    200
24752.0000    200
21593.9545    200
 5567.9545    200
  827.8208    200
 4450.4545    200
23528.4091    200
22602.9675    200
10061.9870    200
 3510.1721    200
26425.6753    200
 2819.6383    200
19109.9091    200
 4680.0357    200
20879.9805    200
18063.9610    200
12212.3117    200
19327.4610    200
20534.0000    200
 6449.6818    200
 7677.2273    200
 9319.0195    200
13148.4935    200
 8277.9156    200
 2256.4727    200
14790.3896    200
15289.0390    200
 2418.1455    200
 3178.7000    200
15690.3117    200
14690.0000    200
19397.4091    200
12279.4805    200
 7140.6948    200
 5466.9156    200
22171.1364    200
12756.8117    200
 7796.5065    200
13682.3052    200
15275.4416    200
18823.1364    200
 2286.5565    200
16024.1494    200
13068.9545    200
21387.5000    200
12387.0455    200
 7563.8130    200
 3227.2143    200
 8314.4123    200
 8629.2143    200
19151.0455    200
10711.8636    200
 3688.2403    200
26580.4675    200
 7519.3052    200
12486.9740    200
24121.9675    200
20518.0000    200
 7291.3312    200
10915.5260    200
 9588.4545    200
 1704.3825    200
 9522.3506    200
 9334.8117    200
 6612.9091    200
 5833.0779    200
10880.0714    200
 8685.2468    200
11507.0390    200
 9645.1429    200
68708.6234    200
 4342.8799    200
31949.6883    200
