obj_Value     Budget
  170.9906    500
21717.5253    500
 4030.1596    500
15841.6667    500
 2242.6038    500
 4791.5654    500
12601.3205    500
 5524.8545    500
10247.3526    500
 5604.5128    500
11200.1218    500
 6062.5494    500
13763.8077    500
13397.8077    500
   58.7712    500
14575.2308    500
10766.9747    500
 9097.5962    500
 8249.7949    500
 5094.0000    500
 2390.9500    500
  671.9179    500
  167.5339    500
 6904.1603    500
 8290.8462    500
 7791.8462    500
 1090.8353    500
 8425.0000    500
15794.8013    500
19321.0000    500
 1595.7590    500
 2593.9494    500
 7108.0000    500
 8054.4744    500
21996.7244    500
 9388.3846    500
 2539.9167    500
 4594.0961    500
 1495.2423    500
 3351.8795    500
17368.6795    500
14669.6667    500
15988.5769    500
 8863.6859    500
 6901.6731    500
 9149.7051    500
12253.5500    500
   54.6085    500
 7120.1203    500
 7892.1667    500
12459.5000    500
 2422.8654    500
13064.0897    500
   72.3212    500
  786.1192    500
11978.1154    500
 7053.0833    500
20685.9103    500
 8592.5380    500
13727.1667    500
11509.7308    500
 4178.8923    500
16917.2436    500
 4157.8741    500
 5176.2342    500
 4582.0038    500
 6326.7692    500
15210.8077    500
15186.7308    500
17292.2308    500
 7551.2647    500
15385.0705    500
19642.1218    500
13506.6026    500
18157.5000    500
 9683.4744    500
12518.5000    500
  459.0671    500
 8489.0000    500
 8054.0276    500
 3364.6000    500
12412.7436    500
13632.4423    500
13666.9103    500
15945.9684    500
13549.3910    500
 7739.0769    500
 7812.0064    500
 1509.7385    500
 6846.7417    500
  247.5956    500
19102.4808    500
15343.5705    500
 2300.0077    500
 1256.2000    500
17565.0000    500
 7625.0000    500
20612.9231    500
 4159.8654    500
28579.8269    500
