obj_Value     Budget
 1859.2851    500
15655.3247    500
 3856.5331    500
 1203.2468    500
 3503.5838    500
15436.0779    500
11165.4351    500
15085.0000    500
18014.2078    500
 5990.2208    500
12348.0909    500
 4724.4766    500
13781.2857    500
10257.3571    500
   70.5379    500
 3522.8078    500
15171.7468    500
 3366.9091    500
10813.5000    500
 6241.6104    500
 7379.2532    500
 6676.2474    500
   40.1383    500
10988.4481    500
10506.2597    500
 8320.2922    500
 8715.0065    500
 3961.1766    500
18541.5390    500
19399.3117    500
 3940.8922    500
 4233.4896    500
 8178.0390    500
21320.9610    500
23887.4545    500
12429.1364    500
 6084.9740    500
  720.2766    500
 1887.1013    500
18981.7143    500
10903.3442    500
15669.0519    500
15838.0130    500
21671.0974    500
 7618.6558    500
12841.0909    500
20199.5000    500
 3294.0883    500
16148.8636    500
12138.8182    500
13829.8442    500
 3422.4753    500
17933.2662    500
 3183.6987    500
 7508.5974    500
 8879.7597    500
17736.0000    500
23660.5909    500
22262.4026    500
41299.8766    500
13599.5649    500
 3312.7091    500
24815.0260    500
16627.1883    500
 1352.5136    500
24365.6494    500
11912.8896    500
28119.1104    500
18235.2662    500
10897.2922    500
 8255.6299    500
32517.4740    500
23292.2987    500
14645.1039    500
14593.0065    500
21421.7922    500
10724.0260    500
16260.6818    500
 7563.0000    500
14916.0779    500
20433.0000    500
 9093.0000    500
13842.1104    500
17933.4156    500
16719.5000    500
13012.5000    500
12608.7792    500
 9158.6299    500
 2274.3234    500
14122.5844    500
 3134.2994    500
15646.9156    500
16704.5195    500
 8909.5455    500
  833.4279    500
16179.1299    500
 1040.5909    500
21959.3636    500
14715.0000    500
33662.7857    500
