obj_Value    Budget
  142.9996   2000
  176.2567   2000
  187.9736   2000
  100.9663   2000
  144.9049   2000
  151.9770   2000
  145.1158   2000
  102.3298   2000
  130.2063   2000
  101.9188   2000
   94.6608   2000
  119.8347   2000
  607.9349   2000
   98.9542   2000
  198.1867   2000
  131.3475   2000
  148.5568   2000
  141.6161   2000
  151.4799   2000
   95.2808   2000
  541.6349   2000
  195.7636   2000
  114.6874   2000
  101.5126   2000
  146.8608   2000
  535.4780   2000
  103.2194   2000
  123.5039   2000
   93.1125   2000
   99.7901   2000
  103.8896   2000
  555.1425   2000
  113.5421   2000
  538.2534   2000
   99.8452   2000
  105.5383   2000
  156.1955   2000
  217.1123   2000
  120.0808   2000
  475.9930   2000
  104.5655   2000
  114.4554   2000
  108.2392   2000
  158.5874   2000
  104.9670   2000
  274.2945   2000
  256.5501   2000
  156.0660   2000
  146.6640   2000
   98.4504   2000
  111.5730   2000
  136.8288   2000
  541.3485   2000
  114.2657   2000
  106.9594   2000
  146.5590   2000
  101.9538   2000
   99.1690   2000
   96.7540   2000
  100.7206   2000
   95.1718   2000
  132.1467   2000
  113.7169   2000
  104.0611   2000
  191.8849   2000
  102.9376   2000
  210.3132   2000
  231.4066   2000
  235.9295   2000
  101.5915   2000
  531.5047   2000
  105.8713   2000
  100.7196   2000
  539.6783   2000
  205.4212   2000
  142.0753   2000
  143.8136   2000
  116.8431   2000
  163.2264   2000
  196.7716   2000
  144.4990   2000
  143.8319   2000
  229.2130   2000
  143.8282   2000
   93.5959   2000
   97.5698   2000
  101.4084   2000
  101.7040   2000
  145.6164   2000
  226.9050   2000
  143.6030   2000
  102.5591   2000
  529.3207   2000
  149.0510   2000
   98.4626   2000
  158.1767   2000
   99.8794   2000
  107.7672   2000
  102.7867   2000
  107.1492   2000
