obj_Value    Budget
  278.7482   5000
  267.9997   5000
  268.9113   5000
  258.0966   5000
  261.0887   5000
  274.7830   5000
  232.8126   5000
  231.8378   5000
  231.3563   5000
  211.8334   5000
  253.0775   5000
  201.4638   5000
  265.0514   5000
  238.5362   5000
  240.5960   5000
  243.6425   5000
  265.1735   5000
  232.4050   5000
  238.5451   5000
  236.6334   5000
  230.6831   5000
  251.9639   5000
  260.4598   5000
  255.7476   5000
  320.3480   5000
  276.7229   5000
  249.2996   5000
  240.5671   5000
  283.6036   5000
  226.3492   5000
  260.6112   5000
  306.9732   5000
  279.1845   5000
  240.0709   5000
  243.9808   5000
  235.8498   5000
  270.7957   5000
  279.3466   5000
  314.0207   5000
  217.6262   5000
  261.4941   5000
  229.9229   5000
  210.5092   5000
  246.3124   5000
  209.3588   5000
  232.4834   5000
  215.2584   5000
  251.2300   5000
  268.1602   5000
  230.8715   5000
  294.4883   5000
  266.0720   5000
  275.9634   5000
  265.9717   5000
  221.6416   5000
  266.3202   5000
  207.1437   5000
  283.6057   5000
  229.1560   5000
  226.4150   5000
  254.6632   5000
  278.9758   5000
  236.8499   5000
  201.8567   5000
  263.7942   5000
  219.0731   5000
  207.9587   5000
  232.3264   5000
  231.0680   5000
  213.0296   5000
  264.5204   5000
  266.4038   5000
  232.0730   5000
  237.3956   5000
  231.2687   5000
  234.4871   5000
  226.8791   5000
  261.6538   5000
  203.6811   5000
  300.5651   5000
  238.0528   5000
  220.1583   5000
  283.1932   5000
  197.5115   5000
  287.1604   5000
  237.5300   5000
  267.3354   5000
  296.8819   5000
  250.0474   5000
  251.3340   5000
  244.5286   5000
  228.1843   5000
  254.6885   5000
  230.2818   5000
  299.8724   5000
  205.7258   5000
  271.8272   5000
  301.2673   5000
  222.9066   5000
  240.8766   5000
