obj_Value    Budget
  120.4250   5000
  148.9956   5000
  100.9500   5000
  134.7950   5000
  124.5589   5000
  141.0600   5000
  149.2549   5000
  147.9650   5000
 1276.7825   5000
  119.6975   5000
  128.4550   5000
  143.8400   5000
  135.4050   5000
  120.9250   5000
  172.6650   5000
  128.2900   5000
  127.2600   5000
  142.8149   5000
  145.1269   5000
 1237.9929   5000
  130.6100   5000
  144.7100   5000
  140.4466   5000
  129.2550   5000
  122.8750   5000
  131.8850   5000
  105.6850   5000
  148.1150   5000
  120.8950   5000
 3512.9169   5000
  133.3900   5000
   95.9050   5000
  144.7150   5000
  263.2350   5000
  134.3350   5000
  739.8656   5000
  139.7462   5000
  129.0600   5000
  128.2850   5000
  155.3636   5000
  116.2669   5000
  110.2900   5000
  133.8737   5000
  248.0595   5000
  173.8000   5000
  141.2150   5000
  121.1982   5000
  160.9700   5000
  140.9550   5000
 1456.8714   5000
  125.3029   5000
  134.7950   5000
  143.1000   5000
  129.6900   5000
  139.0700   5000
  114.0842   5000
  193.6866   5000
  141.8107   5000
  101.5150   5000
  106.1300   5000
  140.4750   5000
  139.5850   5000
  151.9550   5000
  141.6950   5000
   96.9200   5000
  164.1693   5000
  111.1200   5000
  142.3700   5000
  103.0416   5000
  112.4636   5000
  126.4900   5000
  146.5540   5000
  144.1362   5000
 1586.7000   5000
  132.8550   5000
  140.9050   5000
  119.2400   5000
  188.0352   5000
  137.6900   5000
  131.0600   5000
  130.6251   5000
  142.6850   5000
  142.7500   5000
  161.3393   5000
  140.8950   5000
  231.4170   5000
  237.0700   5000
  113.7500   5000
  136.6977   5000
   97.9100   5000
  184.1371   5000
  146.4900   5000
  137.6000   5000
  142.2591   5000
  141.2850   5000
  106.7500   5000
  129.4750   5000
  115.8601   5000
  111.0400   5000
 1466.2844   5000
