obj_Value    Budget
  175.8069   5000
  187.7420   5000
  167.7889   5000
  176.1165   5000
  179.2252   5000
  179.0711   5000
  178.2632   5000
  174.8367   5000
  180.4466   5000
  180.3959   5000
  175.9749   5000
  178.1731   5000
  175.1251   5000
  179.7405   5000
  178.3664   5000
  180.4383   5000
  174.1702   5000
  178.7480   5000
  160.4295   5000
  164.6507   5000
  159.0546   5000
  177.8652   5000
  172.7338   5000
  139.5274   5000
  176.4620   5000
  178.4518   5000
  177.7624   5000
  167.2537   5000
  174.6712   5000
  176.8329   5000
  176.7039   5000
  192.9787   5000
  179.0886   5000
  177.0767   5000
  180.7018   5000
  175.4623   5000
  161.4051   5000
  177.7000   5000
  176.8393   5000
  175.4439   5000
  155.0292   5000
  153.0448   5000
  179.2551   5000
  166.8625   5000
  168.6808   5000
  143.8775   5000
  176.9261   5000
  177.8740   5000
  179.6706   5000
  172.2169   5000
  175.1014   5000
  177.3665   5000
  177.1642   5000
  181.7205   5000
  180.9131   5000
  176.2047   5000
  176.5158   5000
  177.2269   5000
  179.7297   5000
  171.8058   5000
  175.5050   5000
  170.8054   5000
  177.3382   5000
  171.9345   5000
  179.7403   5000
  175.3560   5000
  177.6436   5000
  181.1805   5000
  139.4786   5000
  175.3851   5000
  178.9216   5000
  178.8927   5000
  176.7037   5000
  178.2291   5000
  178.5719   5000
  177.3380   5000
  178.4023   5000
  167.6681   5000
  148.5767   5000
  170.7390   5000
  176.5265   5000
  168.9726   5000
  176.8807   5000
  177.2992   5000
  179.0595   5000
  181.3854   5000
  175.8194   5000
  173.5963   5000
  167.6853   5000
  178.6490   5000
  177.8521   5000
  176.6465   5000
  178.7786   5000
  216.4540   5000
  177.5791   5000
  142.9317   5000
  179.0446   5000
  178.7774   5000
  149.8043   5000
  192.9874   5000
