obj_Value    Budget
  115.3550   3000
  128.0969   3000
  146.4400   3000
  134.2050   3000
  142.9625   3000
  146.7543   3000
  149.6164   3000
  434.7147   3000
 5041.1859   3000
  113.0850   3000
  134.8650   3000
  143.4729   3000
  141.6050   3000
  140.0287   3000
  172.7550   3000
  150.4500   3000
  129.0279   3000
  148.2950   3000
  445.5177   3000
 2195.7179   3000
  119.3750   3000
  142.6850   3000
  124.3750   3000
  128.9550   3000
  131.4800   3000
  148.1950   3000
  123.5550   3000
  106.4550   3000
   98.8600   3000
  542.0670   3000
  137.9600   3000
  138.7550   3000
  240.4497   3000
  170.3282   3000
  175.2411   3000
 1114.9038   3000
  141.6700   3000
  134.9550   3000
  121.8700   3000
  143.3233   3000
  117.2800   3000
  116.0729   3000
 1761.4442   3000
  257.9208   3000
  140.1550   3000
  134.4367   3000
  124.7869   3000
  174.7250   3000
  117.9510   3000
  148.8658   3000
  115.9300   3000
  137.5250   3000
  147.9571   3000
  156.1750   3000
  144.2850   3000
  134.9600   3000
  182.8465   3000
24720.1538   3000
  121.6508   3000
  366.4415   3000
  143.2258   3000
  140.9550   3000
  155.7996   3000
  149.2500   3000
  105.3300   3000
  157.5300   3000
11463.3462   3000
  170.5650   3000
  144.9163   3000
  116.7650   3000
  164.2168   3000
  134.6076   3000
  146.0777   3000
 9123.6282   3000
  132.7500   3000
  107.4350   3000
  105.3397   3000
  282.8550   3000
  115.0627   3000
  132.8150   3000
  131.8200   3000
  142.7108   3000
  162.5750   3000
  200.3600   3000
  154.2601   3000
 7132.0000   3000
 4329.0609   3000
  162.1481   3000
  135.0200   3000
  145.5700   3000
  127.9200   3000
  139.5400   3000
  142.1346   3000
  103.6250   3000
  141.0650   3000
  147.8700   3000
  149.0850   3000
  129.3787   3000
  149.1000   3000
24206.1474   3000
