obj_Value    Budget
 3812.0779   3000
 3853.5256   3000
 4322.4308   3000
 4286.9772   3000
 3458.3478   3000
 4691.6226   3000
 4496.9232   3000
 5047.5543   3000
 3764.6887   3000
 4340.8224   3000
 4445.1116   3000
 4061.9880   3000
 4242.9241   3000
 4601.5869   3000
 4155.5239   3000
 4806.8882   3000
 2963.3563   3000
 4187.1433   3000
 4672.3231   3000
 4635.7813   3000
 4315.9478   3000
 5209.4352   3000
 4935.9987   3000
 4539.9545   3000
 4371.2161   3000
 4111.9944   3000
 4640.8714   3000
 4549.4893   3000
 5147.1373   3000
 4141.1428   3000
 4102.0070   3000
 3457.7416   3000
 4427.4658   3000
 4620.8774   3000
 4800.9543   3000
 4889.5556   3000
 4640.8736   3000
 3784.3327   3000
 4021.8780   3000
 4834.5029   3000
 3202.9576   3000
 4787.7349   3000
 4752.8169   3000
 4972.5947   3000
 4287.5772   3000
 5319.3924   3000
 3832.4883   3000
 4436.9225   3000
 2414.7478   3000
 5297.4137   3000
 4358.9646   3000
 3240.1395   3000
 5684.8975   3000
 4258.9093   3000
 3563.0806   3000
 4270.8100   3000
 5130.0016   3000
 4487.8484   3000
 4815.3380   3000
 4855.9147   3000
 2166.0161   3000
 5228.1411   3000
 4662.0751   3000
 4479.8058   3000
 4849.3229   3000
 4799.0176   3000
 3535.5753   3000
 4860.5291   3000
 3585.2957   3000
 4478.6560   3000
 3749.6055   3000
 4425.4623   3000
 5377.4574   3000
 4239.6302   3000
 4029.6670   3000
 4423.0599   3000
 4205.7788   3000
 4190.2346   3000
 4475.7703   3000
 4339.8322   3000
 4513.4616   3000
 4593.6183   3000
 5014.2687   3000
 4219.1642   3000
 4477.2834   3000
 4540.7437   3000
 3911.2303   3000
 3477.2033   3000
 4314.9150   3000
 3850.6168   3000
 4674.6769   3000
 2759.5477   3000
 4624.7715   3000
 3902.5873   3000
 4922.9195   3000
 4948.4116   3000
 3587.8119   3000
 3960.2792   3000
 3743.1750   3000
 4178.9360   3000
