obj_Value    Budget
  138.1811   3000
  158.8797   3000
  140.5214   3000
   94.0018   3000
  144.3103   3000
  103.7909   3000
  126.5541   3000
  101.7876   3000
  114.5816   3000
   94.9927   3000
   93.4825   3000
  102.6734   3000
  304.3422   3000
   98.4655   3000
  172.1675   3000
   96.0196   3000
  132.4645   3000
  132.0630   3000
  148.7274   3000
   94.1880   3000
  521.6592   3000
  173.9868   3000
  104.2570   3000
   99.8479   3000
  144.2134   3000
  228.0127   3000
  102.7667   3000
  122.7293   3000
   92.9412   3000
   98.4766   3000
  102.9433   3000
  232.0953   3000
  106.8897   3000
  471.1490   3000
   93.8668   3000
  105.0094   3000
  143.6880   3000
  203.7858   3000
  112.6507   3000
  425.5844   3000
  102.5606   3000
  108.0718   3000
   94.9360   3000
  108.1524   3000
  102.4840   3000
  192.3181   3000
  162.0224   3000
  143.3346   3000
  142.9062   3000
   97.7875   3000
  101.4191   3000
  127.6789   3000
  228.6949   3000
  101.3488   3000
   92.8405   3000
  144.8225   3000
   94.4845   3000
   96.4727   3000
   95.9288   3000
  100.5927   3000
   94.2346   3000
  131.0413   3000
  111.6274   3000
  103.7574   3000
  174.9813   3000
  101.3684   3000
  187.1111   3000
  190.8289   3000
  196.8424   3000
  100.6608   3000
  367.1892   3000
   97.3002   3000
   99.7909   3000
  227.8540   3000
  187.1395   3000
  135.8977   3000
  118.8702   3000
   97.5984   3000
  121.1597   3000
  156.3370   3000
  133.7932   3000
  127.2014   3000
  217.8342   3000
  143.4128   3000
   92.9872   3000
   95.7664   3000
  100.9071   3000
  100.7082   3000
  143.7977   3000
  161.1780   3000
  135.7224   3000
  100.6527   3000
  521.8146   3000
  142.1088   3000
   96.7277   3000
   99.6367   3000
   99.3578   3000
  107.5707   3000
  101.8263   3000
  100.3225   3000
