obj_Value    Budget
  120.4250   3000
 3140.0149   3000
  196.9186   3000
  142.9750   3000
  172.7200   3000
  142.4000   3000
  214.0410   3000
  203.6709   3000
 2456.6338   3000
  126.6800   3000
  143.2066   3000
  153.0050   3000
  139.4855   3000
  154.6301   3000
  173.1068   3000
  150.9363   3000
  137.1069   3000
  146.7901   3000
  170.1950   3000
 2730.2610   3000
  135.3923   3000
  144.7100   3000
  146.8032   3000
  132.2950   3000
  125.3009   3000
  238.0300   3000
  111.9414   3000
  155.7400   3000
  200.1856   3000
34353.0000   3000
  134.8550   3000
   99.5850   3000
  145.7263   3000
34683.1753   3000
 1010.5494   3000
11252.2857   3000
  141.2200   3000
  133.5300   3000
  129.2854   3000
  216.2938   3000
  119.8864   3000
  111.4625   3000
 4038.0299   3000
24163.4870   3000
  181.4850   3000
  142.8686   3000
 1180.7565   3000
  161.7800   3000
  174.6423   3000
 3888.8857   3000
  151.2758   3000
  135.6966   3000
  199.4920   3000
  129.6900   3000
  139.2248   3000
  124.7212   3000
17641.0000   3000
  717.3110   3000
  134.4155   3000
  237.8669   3000
  151.2700   3000
  142.5250   3000
  212.0715   3000
  141.9350   3000
  125.5450   3000
  835.3500   3000
  128.8207   3000
  293.5303   3000
  198.3704   3000
  137.0100   3000
  129.3650   3000
 3512.0325   3000
 1611.5104   3000
 3903.2253   3000
  177.6588   3000
  159.2954   3000
  144.1352   3000
  801.1883   3000
  140.6500   3000
  131.6128   3000
  132.5797   3000
  146.9650   3000
 1371.7149   3000
16087.5000   3000
 2691.0221   3000
 8309.1169   3000
14630.5000   3000
  153.2274   3000
  143.0553   3000
   97.9100   3000
  287.5487   3000
 3997.3610   3000
  138.3500   3000
  144.8863   3000
  141.6265   3000
  109.4600   3000
  136.1357   3000
  200.0647   3000
  120.8727   3000
47471.6234   3000
